,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
22,3957,UNUS SED LEO,LEO,unus-sed-leo,46,2019-05-21T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'discount-token', 'payments', 'kenetic-capital-portfolio', 'alameda-research-portfolio']",,926363476.9,985239504.0,False,,23,,,,2024-05-23T03:48:00.000Z,5.985044533896422,2826524.79098762,45.3397,-0.01401713,0.00456971,-0.04504275,4.07805324,-0.57032629,46.14477479,5544326663.82163,0.2149,5896702307.99,,2024-05-23T03:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3,2024-05-23 03:50:35.880803
23,4943,Dai,DAI,multi-collateral-dai,3244,2019-11-22T00:00:00.000Z,"['defi', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'avalanche-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'harmony-ecosystem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,5347888595.7464075,5347888595.7464075,True,,24,,,,2024-05-23T03:48:00.000Z,0.999831349353611,397041269.8036795,-32.7208,0.00046206,2.706e-05,-0.02308016,-0.05137061,-0.05725222,-0.01438187,5346986670.877918,0.2073,5346986670.88,,2024-05-23T03:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f,2024-05-23 03:50:35.880803
24,1321,Ethereum Classic,ETC,ethereum-classic,529,2016-07-24T00:00:00.000Z,"['mineable', 'pow', 'ethash', 'platform', 'smart-contracts', 'dcg-portfolio']",210700000.0,147186973.51714835,210700000.0,False,,25,,,,2024-05-23T03:48:00.000Z,30.659942021699074,459370678.8343152,-28.1137,-0.02315151,-2.42367008,13.44240744,9.03234543,-0.58999277,19.65877273,4512744074.385125,0.1749,6460049783.97,,2024-05-23T03:48:00.000Z,,,,,,2024-05-23 03:50:35.880803
25,5690,Render,RNDR,render,398,2020-06-11T00:00:00.000Z,"['art', 'media', 'vr-ar', 'ai-big-data', 'distributed-computing', 'collectibles-nfts', 'scaling', 'video', 'ethereum-ecosystem', 'solana-ecosystem', 'metaverse', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'polygon-ecosystem', 'web3', 'generative-ai', 'depin']",536870912.0,388643223.5364601,532070163.81646013,False,,26,,,,2024-05-23T03:48:00.000Z,10.62097163508237,849092408.5985264,103.3195,0.45870553,-4.2384603,-0.4203646,14.91836848,-0.32953722,39.54428144,4127768653.3477197,0.16,5702090728.05,,2024-05-23T03:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,2024-05-23 03:50:35.880803
26,4642,Hedera,HBAR,hedera,267,2019-09-17T00:00:00.000Z,"['dag', 'marketplace', 'enterprise-solutions', 'payments', 'dcg-portfolio', 'hedera-hashgraph-ecosystem', 'layer-1']",50000000000.0,35749981467.19368,50000000000.0,False,,27,,,,2024-05-23T03:49:00.000Z,0.114041080693965,64728158.36267731,-14.434,0.4660742,-0.76879676,3.6110224,27.15402352,6.99182208,2.21768689,4076966521.3079877,0.158,5702054034.7,,2024-05-23T03:49:00.000Z,,,,,,2024-05-23 03:50:35.880803
27,21794,Aptos,APT,aptos,380,2022-10-19T01:50:25.000Z,"['binance-labs-portfolio', 'aptos-ecosystem', 'circle-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'move-vm']",,435290892.40889895,1097171320.3584337,True,,28,130000000.0,1181424254.2615988,,2024-05-23T03:48:00.000Z,9.087878878935376,156508974.98427293,-18.0818,0.87233069,-1.48904349,6.45405185,-9.28381244,-43.9374351,-0.58838445,3955870907.315764,0.1534,9970960068.86,,2024-05-23T03:48:00.000Z,,,,,,2024-05-23 03:50:35.880803
28,10603,Immutable,IMX,immutable-x,284,2021-06-24T00:00:00.000Z,"['collectibles-nfts', 'zero-knowledge-proofs', 'gaming', 'scaling', 'layer-2', 'rollups', 'arrington-xrp-capital-portfolio', 'alameda-research-portfolio']",2000000000.0,1482345419.3898141,2000000000.0,False,,29,570354831.0,1446657570.4041781,,2024-05-23T03:49:00.000Z,2.5364167913994193,68905204.64660913,-0.3533,1.47162136,1.67339925,8.48361106,5.39094128,-11.19505156,-20.78291191,3759845812.394339,0.1458,5072833582.8,,2024-05-23T03:49:00.000Z,1027.0,Ethereum,ETH,ethereum,0xf57e7e7c23978c3caec3c3548e3d615c346e79ff,2024-05-23 03:50:35.880803
29,27075,Mantle,MNT,mantle,68,2023-07-17T11:00:31.000Z,"['ethereum-ecosystem', 'layer-2', 'dwf-labs-portfolio']",6219316795.0,3264441707.8368406,6219316794.99,False,,30,1843669839.0,1939079805.2626014,,2024-05-23T03:49:00.000Z,1.051750028255792,96311647.46185376,66.4683,-0.01871497,-2.41759703,5.6200015,-13.58261601,30.11275719,34.87312933,3433376658.456783,0.1331,6541166614.87,,2024-05-23T03:49:00.000Z,1027.0,Ethereum,ETH,ethereum,0x3c3a81e81dc49a522a592e7622a7e711c06bf354,2024-05-23 03:50:35.880803
30,26081,First Digital USD,FDUSD,first-digital-usd,299,2023-07-26T04:26:40.000Z,"['stablecoin', 'ethereum-ecosystem', 'binance-smart-chain', 'usd-stablecoin', 'fiat-stablecoin']",,3412655344.79,3412655344.79,False,,31,,,,2024-05-23T03:48:00.000Z,0.9987660515074813,7968246987.265922,-9.8532,-0.05952053,-0.04849069,-0.08536535,-0.25543097,-0.096737,-0.29730165,3408444303.8718104,0.1321,3408444303.87,,2024-05-23T03:48:00.000Z,1027.0,Ethereum,ETH,ethereum,0xc5f0f7b66764F6ec8C8Dff7BA683102295E16409,2024-05-23 03:50:35.880803
31,2280,Filecoin,FIL,filecoin,481,2017-12-13T00:00:00.000Z,"['mineable', 'distributed-computing', 'filesharing', 'storage', 'polychain-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'dcg-portfolio', 'hashkey-capital-portfolio', 'a16z-portfolio', 'winklevoss-capital-portfolio', 'pantera-capital-portfolio', 'web3', 'filecoin-ecosystem', 'sec-security-token', 'alleged-sec-securities', 'depin']",,555462581.0,1960477101.0,False,,32,,,,2024-05-23T03:49:00.000Z,6.1261335426779215,215331967.69195676,-15.6473,-0.18953218,-1.41035736,5.52103793,-6.5258945,-28.50182576,-25.34602587,3402837949.166552,0.1319,12010144528.09,,2024-05-23T03:49:00.000Z,,,,,,2024-05-23 03:50:35.880803
